slug	id	title	creator	license	source_page	url
bmw2	a7719496-59aa-473a-b193-92015bd07d46	BMW Z4 M Coupe By Bburago	thienzieyung	by	https://www.flickr.com/photos/26978304@N08/5675292168	https://live.staticflickr.com/5070/5675292168_289e14b5ce_b.jpg
bmw2	0d835759-b835-410c-9561-1585fca44fed	SILVER GREY M3 CONVERTIBLE E46	Prior Design NA (priordesignusa.com)	by	https://www.flickr.com/photos/49500824@N02/4566537485	https://live.staticflickr.com/4072/4566537485_924d3708bf_b.jpg
bmw2	bf9905e8-76dd-4233-8806-d22e585b7abe	European rear engined coupe collection: Simca 1000 Coupe, VW Type 3 Karmann Ghia, BMW 700 Coupe & Singer Chamois Coupe	andreboeni	by	https://www.flickr.com/photos/65344061@N06/10105355363	https://live.staticflickr.com/7294/10105355363_0b2294e591_b.jpg
bmw2	f56e38e3-bbc2-4f79-8ded-a031337ad05c	BMW 2000 CS (1967) & 3.0CS E9 (1971)	andreboeni	by	https://www.flickr.com/photos/65344061@N06/17030609702	https://live.staticflickr.com/8694/17030609702_0364c650c4_b.jpg
bmw2	4a52725c-a4b6-4207-8750-2c819c74d051	2021 BMW 430i xDrive Coupe in BMW Individual Dravit Grey metallic, Front Left, 08-02-2023	Elise240SX	by-sa	https://commons.wikimedia.org/w/index.php?curid=135675650	https://upload.wikimedia.org/wikipedia/commons/9/9e/2021_BMW_430i_xDrive_Coupe_in_BMW_Individual_Dravit_Grey_metallic%2C_Front_Left%2C_08-02-2023.jpg
bmw2	f0a34b95-e478-4229-b070-71025d621f0d	2021 BMW 430i xDrive Coupe in BMW Individual Dravit Grey metallic, Rear Left, 08-02-2023	Elise240SX	by-sa	https://commons.wikimedia.org/w/index.php?curid=135675651	https://upload.wikimedia.org/wikipedia/commons/7/7a/2021_BMW_430i_xDrive_Coupe_in_BMW_Individual_Dravit_Grey_metallic%2C_Rear_Left%2C_08-02-2023.jpg
bmw2	4abc2b2e-6d46-46c9-a798-a198bcd4ea52	YE65SLU-used-BMW-2-SERIES-DIESEL-COUPE-220d-190-M-Sport-2dr-Diesel-Manual-GREY-2015-XC-L-10	cardiffcarshopcollections	pdm	https://www.flickr.com/photos/137009385@N06/39779107975	https://live.staticflickr.com/4795/39779107975_861bc81b37_b.jpg
bmw2	23e3a306-304e-4bb8-bd80-fd20bb436ee6	LS60UNR-used-BMW-3-SERIES-DIESEL-COUPE-320d-M-Sport-2dr-Diesel-Manual-GREY-2010-XC-L-10	cardiffcarshopcollections	pdm	https://www.flickr.com/photos/137009385@N06/40196283892	https://live.staticflickr.com/4697/40196283892_949f317a1b_b.jpg
bmw2	bbb67b38-8535-45ad-9a86-a0263f8438dd	YE65SLU-used-BMW-2-SERIES-DIESEL-COUPE-220d-190-M-Sport-2dr-Diesel-Manual-GREY-2015-XC-L-01	cardiffcarshopcollections	pdm	https://www.flickr.com/photos/137009385@N06/28211077938	https://live.staticflickr.com/946/28211077938_81bc07513b_b.jpg
bmw2	54f6c006-9f79-47e5-a392-a1f45f31c86e	BMW G16 LCI M850i xDrive Gran Coupe Skyscraper Grey Metallic (4)	Damian B Oh	by-sa	https://commons.wikimedia.org/w/index.php?curid=135733561	https://upload.wikimedia.org/wikipedia/commons/0/06/BMW_G16_LCI_M850i_xDrive_Gran_Coupe_Skyscraper_Grey_Metallic_%284%29.jpg
beetle	b886162f-7d09-4502-af21-f68b3a0576c4	1977 Volkswagen Beetle White (2)	Damian B Oh	by-sa	https://commons.wikimedia.org/w/index.php?curid=118555981	https://upload.wikimedia.org/wikipedia/commons/d/db/1977_Volkswagen_Beetle_White_%282%29.jpg
